"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"462","Naz Reid","C","22","MIN","47","5","16.2","3.0","6.6",".458","0.7","2.3",".324","2.3","4.3",".529",".514","1.5","2.0",".729","1.5","2.5","3.9","0.8","0.4","1.0","1.0","2.3","8.3"
"463","Nick Richards","C","24","CHO","37","5","8.3","1.4","2.1",".675","0.0","0.0","","1.4","2.1",".675",".675","0.7","0.9",".743","0.8","1.3","2.0","0.3","0.2","0.5","0.5","1.2","3.5"
"464","Josh Richardson","SG","28","BOS","39","0","24.9","3.5","7.9",".445","1.4","3.5",".397","2.1","4.4",".483",".532","1.3","1.5",".850","0.6","2.1","2.7","1.5","0.8","0.5","0.8","1.9","9.7"
"465","Austin Rivers","SG","29","DEN","36","12","21.5","2.4","5.7",".420","1.4","3.8",".355","1.0","1.9",".552",".539","0.5","0.8",".704","0.3","1.3","1.6","1.1","0.7","0.1","0.8","1.7","6.7"
"466","Duncan Robinson","SG","27","MIA","47","42","27.5","4.1","10.1",".403","3.1","8.5",".365","1.0","1.6",".597",".556","0.7","0.9",".800","0.4","2.7","3.1","1.5","0.7","0.2","0.8","2.6","12.0"
"467","Justin Robinson","PG","24","TOT","25","0","12.2","1.1","3.7",".301","0.7","2.4",".295","0.4","1.3",".313",".398","0.2","0.3",".500","0.2","0.7","0.8","1.3","0.4","0.0","0.7","1.1","3.1"
"467","Justin Robinson","PG","24","MIL","17","0","11.6","1.1","3.4",".316","0.6","2.2",".270","0.5","1.2",".400",".404","0.1","0.1","1.000","0.1","0.6","0.8","1.2","0.5","0.0","0.6","1.0","2.8"
"467","Justin Robinson","PG","24","SAC","3","0","5.0","0.3","2.7",".125","0.0","1.0",".000","0.3","1.7",".200",".125","0.0","0.0","","0.0","0.3","0.3","0.7","0.0","0.0","0.3","0.7","0.7"
"467","Justin Robinson","PG","24","DET","5","0","18.2","1.8","5.6",".321","1.6","4.2",".381","0.2","1.4",".143",".464","0.4","1.2",".333","0.4","1.0","1.4","1.8","0.2","0.2","1.0","1.6","5.6"
"468","Mitchell Robinson","C","23","NYK","45","36","25.0","3.5","4.5",".782","0.0","0.0","","3.5","4.5",".782",".782","1.3","2.5",".527","3.6","4.7","8.3","0.4","0.5","1.4","0.8","2.7","8.3"
"469","Jeremiah Robinson-Earl","C","21","OKC","44","36","23.0","2.7","6.6",".401","1.1","3.4",".333","1.5","3.2",".472",".486","0.7","1.0",".714","1.6","4.2","5.8","1.0","0.6","0.3","0.8","1.7","7.1"
"470","Isaiah Roby","PF","23","OKC","18","5","13.7","2.6","4.7",".560","0.6","1.2",".500","2.0","3.4",".581",".625","0.9","1.2",".762","1.1","2.2","3.3","0.7","0.2","0.3","0.8","1.4","6.7"
"471","Rajon Rondo","PG","35","TOT","24","0","17.2","1.6","4.7",".345","0.8","2.3",".321","0.9","2.4",".368",".425","0.3","0.3",".750","0.5","2.4","2.8","3.9","0.8","0.2","2.0","1.4","4.3"
"471","Rajon Rondo","PG","35","LAL","18","0","16.1","1.3","3.9",".324","0.4","1.7",".267","0.8","2.3",".366",".380","0.1","0.1",".500","0.6","2.2","2.7","3.7","0.7","0.3","1.9","1.4","3.1"
"471","Rajon Rondo","PG","35","CLE","6","0","20.5","2.7","7.0",".381","1.7","4.3",".385","1.0","2.7",".375",".500","0.8","1.0",".833","0.2","3.0","3.2","4.5","1.2","0.0","2.2","1.5","7.8"
"472","Derrick Rose","PG","33","NYK","26","4","24.5","4.7","10.5",".445","1.4","3.5",".402","3.3","7.0",".467",".513","1.2","1.2",".968","0.8","2.2","3.0","4.0","0.8","0.5","1.5","0.6","12.0"
"473","Terrence Ross","SG","30","ORL","42","0","25.1","4.0","9.7",".408","1.4","4.4",".317","2.6","5.3",".484",".480","2.3","2.6",".873","0.3","2.4","2.8","2.1","0.5","0.3","1.5","1.3","11.6"
"474","Terry Rozier","SG","27","CHO","42","42","32.7","6.6","15.4",".431","3.0","7.9",".373","3.7","7.5",".491",".526","2.0","2.4",".804","0.6","3.5","4.1","4.0","1.2","0.4","1.2","1.4","18.2"
"475","Ricky Rubio","PG","31","CLE","34","8","28.5","4.4","12.1",".363","1.7","5.1",".339","2.6","7.0",".380",".434","2.6","3.0",".854","0.4","3.7","4.1","6.6","1.4","0.2","2.6","2.2","13.1"
"476","D'Angelo Russell","PG","25","MIN","38","38","32.2","6.5","15.9",".410","3.0","8.5",".352","3.5","7.3",".477",".504","2.8","3.5",".805","0.3","3.3","3.6","6.9","0.9","0.5","2.7","2.2","18.8"
"477","Domantas Sabonis","C","25","IND","46","45","34.9","7.1","12.2",".581","0.8","2.3",".324","6.3","9.9",".642",".612","4.1","5.6",".742","3.3","8.8","12.1","5.0","1.0","0.5","3.0","3.1","19.1"
"478","Olivier Sarr","C","22","OKC","2","0","7.0","0.5","1.5",".333","0.0","0.5",".000","0.5","1.0",".500",".333","1.0","1.0","1.000","0.0","2.5","2.5","0.0","0.0","1.0","0.0","0.5","2.0"
"479","Tomáš Satoranský","SG","30","NOP","32","3","15.0","1.0","3.3",".299","0.2","1.0",".161","0.8","2.4",".355",".322","0.6","0.8",".760","0.6","1.4","2.0","2.4","0.4","0.0","0.7","1.0","2.8"
"480","Jordan Schakel","SG","23","WAS","2","0","7.0","0.0","3.0",".000","0.0","1.5",".000","0.0","1.5",".000",".000","0.0","0.0","","1.0","0.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0"
"481","Admiral Schofield","SF","24","ORL","17","1","12.6","1.4","2.8",".500","0.5","1.6",".333","0.9","1.2",".714",".594","0.1","0.2",".667","0.4","2.2","2.5","0.8","0.1","0.2","0.6","1.6","3.5"
"482","Dennis Schröder","SG","28","BOS","44","25","30.4","5.4","12.3",".437","1.4","4.0",".352","4.0","8.3",".478",".494","2.7","3.1",".848","0.6","2.8","3.4","4.5","0.9","0.1","2.2","2.4","14.8"
"483","Tre Scott","SF","25","CLE","2","0","5.5","1.5","3.0",".500","0.0","0.5",".000","1.5","2.5",".600",".500","0.0","0.0","","0.5","0.5","1.0","0.0","0.5","0.5","0.0","1.0","3.0"
"484","Jay Scrubb","SG","21","LAC","18","0","6.7","1.0","2.6",".391","0.3","1.2",".286","0.7","1.4",".480",".457","0.4","0.6",".700","0.1","0.8","0.9","0.4","0.2","0.2","0.4","0.5","2.7"
"485","Wayne Selden","SG","27","NYK","3","0","6.3","0.3","1.3",".250","0.3","0.7",".500","0.0","0.7",".000",".375","0.7","1.3",".500","0.0","0.3","0.3","0.3","0.0","0.0","0.0","0.3","1.7"
"486","Alperen Şengün","C","19","HOU","41","2","18.0","3.1","6.3",".488","0.3","1.1",".277","2.8","5.1",".536",".514","2.3","3.3",".704","1.7","2.9","4.6","2.5","0.8","0.9","2.0","2.8","8.8"
"487","Collin Sexton","SG","23","CLE","11","11","28.7","6.2","13.7",".450","1.0","4.1",".244","5.2","9.6",".538",".487","2.6","3.5",".744","1.2","2.1","3.3","2.1","0.9","0.0","2.8","2.3","16.0"
"488","Landry Shamet","SG","24","PHO","45","7","19.8","2.4","6.4",".370","1.6","4.5",".353","0.8","2.0",".409",".493","1.0","1.2",".852","0.2","1.7","1.9","1.6","0.5","0.1","0.5","1.2","7.4"
"489","Day'Ron Sharpe","PF","20","BRK","22","8","12.2","2.9","4.9",".589","0.0","0.1",".333","2.8","4.7",".596",".593","0.7","1.0",".652","2.5","2.6","5.0","0.3","0.3","0.5","1.0","2.1","6.5"
"490","Pascal Siakam","PF","27","TOR","34","34","37.5","8.0","16.9",".475","1.0","3.1",".333","7.0","13.8",".506",".505","4.0","5.4",".734","2.0","6.4","8.4","5.2","1.3","0.8","2.6","3.5","21.0"
