"71","Charlie Brown Jr.","SG","24","DAL","3","0","5.0","0.3","1.7",".200","0.0","1.0",".000","0.3","0.7",".500",".200","0.0","0.0","","0.0","0.3","0.3","0.3","0.7","0.3","0.0","0.7","0.7"
"72","Chaundee Brown Jr.","SG-SF","23","TOT","5","2","20.8","2.0","6.4",".313","1.2","3.6",".333","0.8","2.8",".286",".406","1.0","1.2",".833","0.2","3.0","3.2","0.8","0.4","0.0","0.2","1.4","6.2"
"72","Chaundee Brown Jr.","SF","23","LAL","2","0","10.5","0.5","3.5",".143","0.0","1.5",".000","0.5","2.0",".250",".143","0.0","0.0","","0.0","1.0","1.0","0.0","0.0","0.0","0.5","0.0","1.0"
"72","Chaundee Brown Jr.","SG","23","ATL","3","2","27.7","3.0","8.3",".360","2.0","5.0",".400","1.0","3.3",".300",".480","1.7","2.0",".833","0.3","4.3","4.7","1.3","0.7","0.0","0.0","2.3","9.7"
"73","Greg Brown III","SF","20","POR","14","0","5.1","0.7","1.9",".370","0.0","0.4",".000","0.7","1.6",".455",".370","0.3","0.8",".364","0.5","0.9","1.4","0.4","0.1","0.3","0.4","0.7","1.7"
"74","Jaylen Brown","SF","25","BOS","24","24","34.4","8.8","19.3",".457","2.8","7.8",".366","6.0","11.6",".518",".530","4.0","5.3",".770","0.8","5.3","6.1","2.6","1.2","0.5","3.2","2.8","24.5"
"75","Moses Brown","C","22","DAL","22","1","6.7","1.2","2.0",".605","0.0","0.0","","1.2","2.0",".605",".605","1.2","1.9",".659","0.6","1.7","2.3","0.0","0.1","0.3","0.5","1.2","3.6"
"76","Sterling Brown","SG","26","DAL","30","3","15.1","1.5","3.6",".407","0.8","2.3",".357","0.6","1.3",".500",".523","0.3","0.3",".900","0.7","3.1","3.7","1.0","0.4","0.1","0.7","1.2","4.1"
"77","Troy Brown Jr.","SF","22","CHI","24","1","14.3","1.6","3.9",".409","0.5","1.6",".282","1.1","2.3",".500",".468","0.5","0.7",".750","0.4","2.3","2.8","1.2","0.5","0.1","0.3","0.8","4.1"
"78","Jalen Brunson","PG","25","DAL","37","19","30.9","6.4","13.0",".490","1.1","3.2",".336","5.3","9.8",".540",".531","2.2","2.9",".776","0.6","3.1","3.6","5.5","0.8","0.1","1.7","1.9","16.0"
"79","Shaq Buchanan","PG","25","MEM","2","0","5.0","0.5","2.0",".250","0.0","1.0",".000","0.5","1.0",".500",".250","0.0","0.0","","0.5","0.5","1.0","1.0","0.5","0.0","1.0","0.5","1.0"
"80","Reggie Bullock","SF","30","DAL","31","12","24.5","2.3","6.1",".370","1.4","4.5",".302","0.9","1.6",".560",".481","0.4","0.5",".765","0.2","2.5","2.8","1.0","0.4","0.2","0.5","1.4","6.3"
"81","Trey Burke","PG","29","DAL","18","0","13.4","2.9","6.6",".437","0.8","2.6",".326","2.1","4.1",".507",".500","0.9","0.9",".941","0.1","1.1","1.2","2.2","0.4","0.0","0.8","1.0","7.5"
"82","Alec Burks","SG","30","NYK","37","13","27.0","3.7","9.2",".405","1.9","4.7",".411","1.8","4.5",".398",".510","2.6","3.2",".808","0.5","3.6","4.1","2.3","1.2","0.3","0.9","2.3","12.0"
"83","Jared Butler","SG","21","UTA","19","0","4.3","0.6","1.8",".343","0.4","1.1",".333","0.3","0.7",".357",".443","0.2","0.4",".571","0.0","0.6","0.6","0.5","0.2","0.3","0.4","0.8","1.8"
"84","Jimmy Butler","SF","32","MIA","23","23","33.8","7.8","15.7",".500","0.5","1.9",".250","7.3","13.7",".535",".515","7.0","8.1",".871","1.9","4.0","5.9","5.4","2.0","0.4","2.0","1.3","23.2"
"85","Devontae Cacok","PF","25","SAS","3","0","3.7","1.7","2.3",".714","0.0","0.0","","1.7","2.3",".714",".714","0.0","0.0","","0.7","0.3","1.0","0.3","0.3","0.3","0.3","1.0","3.3"
"86","Kentavious Caldwell-Pope","SG","28","WAS","35","35","29.8","4.1","9.9",".414","2.1","5.5",".381","2.0","4.3",".457",".522","1.1","1.3",".864","0.5","3.2","3.7","1.7","1.3","0.4","1.3","1.9","11.4"
"87","Facundo Campazzo","PG","30","DEN","35","4","21.8","2.2","5.6",".400","1.3","3.5",".358","1.0","2.1",".472",".513","1.1","1.4",".813","0.3","1.7","2.1","3.8","1.2","0.5","1.2","2.2","6.8"
"88","Vlatko Čančar","PF","24","DEN","14","1","10.9","1.6","2.8",".564","0.5","0.9",".583","1.1","1.9",".556",".654","0.6","0.9",".750","0.4","1.2","1.6","0.9","0.1","0.2","0.6","0.9","4.3"
"89","Clint Capela","C","27","ATL","35","35","29.9","5.3","9.3",".574","0.0","0.0",".000","5.3","9.2",".576",".574","1.3","2.6",".478","4.2","8.9","13.1","1.5","0.8","1.5","0.6","2.5","11.9"
"90","Vernon Carey Jr.","C","20","CHO","2","1","6.0","1.5","3.0",".500","0.0","0.0","","1.5","3.0",".500",".500","0.5","0.5","1.000","1.0","0.5","1.5","0.0","0.5","0.0","0.5","0.5","3.5"
"91","Jevon Carter","PG","26","BRK","30","1","11.7","0.9","3.1",".283","0.7","2.4",".301","0.1","0.6",".211",".402","0.1","0.1",".750","0.2","1.4","1.6","1.0","0.3","0.3","0.5","1.0","2.6"
"92","Wendell Carter Jr.","C","22","ORL","37","37","29.4","4.9","10.1",".489","1.2","3.8",".331","3.7","6.4",".583",".551","2.0","2.7",".723","2.2","8.1","10.3","2.7","0.7","0.6","1.6","2.8","13.1"
"93","Alex Caruso","SG","27","CHI","26","9","28.0","2.8","6.3",".448","1.1","3.0",".364","1.7","3.3",".523",".534","1.7","2.0",".830","1.0","2.8","3.7","4.0","2.0","0.3","1.5","2.5","8.4"
"94","Willie Cauley-Stein","C","28","DAL","18","2","9.8","0.9","1.9",".457","0.1","0.1",".500","0.8","1.8",".455",".471","0.1","0.1",".500","0.7","1.4","2.1","0.5","0.3","0.2","0.4","0.9","1.9"
"95","Ahmad Caver","G","25","IND","1","0","1.0","1.0","1.0","1.000","0.0","0.0","","1.0","1.0","1.000","1.000","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"96","Justin Champagnie","SF","20","TOR","19","0","7.8","1.2","2.3",".535","0.3","0.7",".385","0.9","1.6",".600",".593","0.5","0.5","1.000","1.0","0.6","1.6","0.2","0.2","0.2","0.1","0.9","3.2"
"97","Chris Chiozza","PG","26","GSW","18","1","11.6","0.8","2.8",".280","0.6","1.8",".344","0.2","1.0",".167",".390","0.1","0.1","1.000","0.4","0.8","1.3","1.7","0.4","0.0","0.9","1.1","2.2"
